Carimbo de data/hora,Qual seu curso?,Qual seu semestre?,Qual é o seu nível de experiência em programação?,Você já usou alguma ferramenta de IA para auxiliar no aprendizado de programação?,"Se sim, qual(is) ferramenta(s) de IA você usou?",Com que frequência você utiliza IA para aprender ou resolver problemas de programação?,Qual a principal razão para utilizar IA no aprendizado de programação?,"Na sua opinião, o uso de IA impactou positivamente sua habilidade em resolver problemas de programação?",Quais habilidades de programação você considera que a IA ajuda a desenvolver? (Selecione todas que se aplicam),O uso de IA ajudou você a ganhar mais confiança para programar de forma independente?,Você acha que o uso de IA pode criar uma dependência ao programar?,"Ao usar IA, você sente que compreende melhor os conceitos ou que apenas obtém respostas rápidas?",Qual foi a sua maior dificuldade ao aprender a programar sem usar IA?,"Qual a sua opinião sobre o uso de IA para aprendizado em disciplinas técnicas, como programação?","Opcional, mas importante para nossa pesquisa: Crie uma função/programa em qualquer linguagem de programação que receba uma lista de números inteiros e retorne uma nova lista contendo apenas os números primos. Por favor, resolva sem o uso de IA. Caso não tenha certeza na resposta, envie o código da forma que acredita estar correto. "
29/10/2024 10:17:13,Direito ,1° ,Iniciante,Sim,Chat Gpt,Sempre,"Resolver problemas, Entender códigos, Gerar ideias, Melhorar habilidades de codificação",Sim,"Lógica, Sintaxe, Estrutura de Dados, Algorítimos, Depuração, Otimização",Discordo,Sim,Compreendo melhor,As vezes eu não entendo aí ela me ajuda a entender ,Bom ,sim 
29/10/2024 10:26:12,Engenharia de Software,2,Iniciante,Sim,"Chat Gpt, Blackbox ai",Quase sempre,"Resolver problemas, Entender códigos, Otimizar tempo",Sim,"Sintaxe, Estrutura de Dados",Discordo,Sim,Apenas obtenho respostas rápidas,sintaxe,bom,
29/10/2024 10:34:07,Engenharia de Software,2° semestre,Iniciante,Sim,Chat Gpt,Quase sempre,"Resolver problemas, Entender códigos, Otimizar tempo",Sim,"Estrutura de Dados, Algorítimos, Otimização",Neutro,Sim,Compreendo melhor,Organização dos códigos,"Bastante útil, mas está sujeito ao carácter da pessoa se ela irá utilizar como uma ferramente para ajudá-la ou para fazer o trabalho inteiro.",✓
29/10/2024 10:35:28,Economia,Segundo,Iniciante,Sim,Chat Gpt,Quase sempre,"Entender códigos, Melhorar habilidades de codificação",Não,"Lógica, Estrutura de Dados",Discordo,Sim,Apenas obtenho respostas rápidas,,,
29/10/2024 10:35:30,Engenharia de Software,2,Intermediário,Sim,Chat Gpt,Sempre,"Resolver problemas, Gerar ideias, Otimizar tempo",Sim,"Estrutura de Dados, Otimização",Concordo Totalmente,Sim,Apenas obtenho respostas rápidas,,,
29/10/2024 10:38:02,Economia,4,Intermediário,Sim,"Chat Gpt, Copilot",Raramente,"Entender códigos, Otimizar tempo",Sim,"Lógica, Otimização",Neutro,Sim,Compreendo melhor,Dificuldade de aprender a sintaxe,"Ela serve como fonte de consulta e resolução de dúvidas, dependendo da disciplina",
29/10/2024 10:43:19,Ciência da Computação,segundo,Iniciante,Sim,"Chat Gpt, Blackbox AI",Quase sempre,"Resolver problemas, Otimizar tempo",Sim,"Sintaxe, Algorítimos",Concordo,Sim,Compreendo melhor,procurar de maneira eficiente variáveis de sintaxes,"Acho extremamente útil, afinal de conta é uma ferramenta super eficiente.",
29/10/2024 10:52:36,Ciência da Computação,6,Avançado,Sim,"Chat Gpt, Copilot",Quase sempre,"Gerar ideias, Otimizar tempo",Sim,"Lógica, Estrutura de Dados, Depuração",Neutro,Sim,Apenas obtenho respostas rápidas,"A demora para conseguir resultados, com IA conseguimos resultados quase que instantâneos sobre determinado assunto, mesmo que muita das vezes sejam resultados errados.",,"#include <bits/stdc++.h>

using namespace std;

vector<bool> primos(10e2, true);

void crivo() {
  primos[0] = primos[1] = false;

  for (int i = 2; i < primos.size(); i++) {
    if (primos[i]) {
      for (int j = 2 * i; j < primos.size(); j += i) {
        primos[j] = false;
      }
    }
  }
}

vector<int> verificaPrimos(vector<int> v) {
  vector<int> novosPrimos;

  for (int it : v) {
    if (primos[it]) {
      novosPrimos.push_back(it);
    }
  }

  return novosPrimos;
}

int main() {
  ios_base::sync_with_stdio(false);
  cin.tie(NULL);
  cout.tie(NULL);

  crivo();

  vector<int> teste = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};

  vector<int> saoPrimosQ = verificaPrimos(teste);

  for (auto it : saoPrimosQ) {
    cout << it << ' ';
  }

  cout << endl;

  return 0;
}
"
29/10/2024 11:13:19,Engenharia de Software,1,Iniciante,Sim,Chat Gpt,Quase sempre,"Resolver problemas, Gerar ideias, Melhorar habilidades de codificação",Sim,"Lógica, Sintaxe, Estrutura de Dados, Algorítimos, Depuração",Concordo Totalmente,Não,Compreendo melhor,Suporte ,Importante para aprendizado ,.
29/10/2024 11:59:12,Ciência da Computação,Formado,Avançado,Sim,"Chat Gpt, Copilot, CodePilot, LLaMA, Gemini, Claude",Raramente,"Gerar ideias, Otimizar tempo",Sim,"Depuração, Organização",Discordo Totalmente,Sim,Apenas obtenho respostas rápidas,Ter locais para praticar.,"A ferramenta pode auxiliar no aprendizado, sem o uso para cópia de respostas e sim para insights.","#include <stdio.h>
#include <stdlib.h>
#define TS 10000
// Lista de inteiros (Z) p/ referencia:
// -5, -4, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14

// Limite pré-calculado
int primos[TS];

typedef struct Resposta {
    int *ans;
    int nr;
} resposta; 

void crivo()
{
    primos[0] = primos[1];

    for (int i = 2; i * i < TS; i++) {
        if (!primos[i]) {
            for (int j = i * 2; j < TS; j += i) {
                primos[j] = 1;
            }
        }
    }

}

resposta somente_primos(int *V, int n)
{
    resposta r;
    r.nr = 0;

    for (int i = 0; i < n; i++) {
        if (V[i] < 2) continue;
        if (!primos[V[i]]) {
            r.nr++;
        }
    }

    r.ans = (int *)malloc(n * sizeof(int));

    for (int i = 0, k = 0; i < n; i++) {
        if (V[i] < 2) continue;
        if (!primos[V[i]]) {
            r.ans[k++] = V[i];
        }
    }

    return r;
}


int main()
{
    int L[] = {-5, -4, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14};
    resposta resp;

    crivo();
   
    resp = somente_primos(L, sizeof(L) / sizeof(L[0]));
    printf(""Quantidade: %d\nPrimos: "", resp.nr);
    for (int i = 0; i < resp.nr; i++) {
        printf(""%d "", resp.ans[i]);
    }
    putchar('\n');

    free(resp.ans);

    return 0;
}
"
